player_name,sample_size,DG_odds,bet365_odds,bet365_ev,betfair_odds,betfair_ev,pointsbet_odds,pointsbet_ev,skybet_odds,skybet_ev,unibet_odds,unibet_ev,draftkings_odds,draftkings_ev,fanduel_odds,fanduel_ev,whill_odds,whill_ev,caesars_odds,caesars_ev,betmgm_odds,betmgm_ev,betonline_odds,betonline_ev,bovada_odds,bovada_ev,betway_odds,betway_ev,betcris_odds,betcris_ev,pinnacle_odds,pinnacle_ev
"Dunlap, Nick",150,+100656,+35000,-0.652,+32500,-0.676,+50000,-0.503,+50000,-0.503,+35000,-0.652,+35000,-0.652,+50000,-0.503,,0.00,+50000,-0.503,+25000,-0.751,+25000,-0.751,+50000,-0.503,+30000,-0.701,,0.00,,0.00
"Highsmith, Joe",150,+101768,+40000,-0.606,+37500,-0.631,+70000,-0.312,+50000,-0.508,+35000,-0.655,+40000,-0.606,+75000,-0.263,,0.00,+75000,-0.263,+50000,-0.508,,0.00,+75000,-0.263,+40000,-0.606,,0.00,,0.00
"Poston, J.T.",150,+116973,+60000,-0.487,+50000,-0.572,+100000,-0.145,+100000,-0.145,,0.00,+60000,-0.487,+100000,-0.145,,0.00,+100000,-0.145,+60000,-0.487,,0.00,+100000,-0.145,+50000,-0.572,,0.00,,0.00
"Day, Jason",150,+116973,+40000,-0.657,+37500,-0.679,+70000,-0.401,+60000,-0.487,+35000,-0.700,+40000,-0.657,+75000,-0.359,,0.00,+75000,-0.359,+50000,-0.572,,0.00,+60000,-0.487,+40000,-0.657,,0.00,,0.00
"Koivun, Jackson",150,+125884,+12500,-0.900,+10000,-0.920,+17500,-0.860,+40000,-0.682,+15000,-0.880,+12000,-0.904,+17000,-0.864,,0.00,+17500,-0.860,+15000,-0.880,,0.00,+17500,-0.860,+12500,-0.900,,0.00,+29514,-0.765
"An, Byeong Hun",150,+129630,+60000,-0.537,+50000,-0.614,+100000,-0.228,+100000,-0.228,+50000,-0.614,+60000,-0.537,+100000,-0.228,,0.00,+100000,-0.228,+60000,-0.537,,0.00,+100000,-0.228,+50000,-0.614,,0.00,,0.00
"Straka, Sepp",150,+136886,+60000,-0.561,+50000,-0.634,+100000,-0.269,+60000,-0.561,+35000,-0.744,+60000,-0.561,+100000,-0.269,,0.00,+100000,-0.269,+50000,-0.634,,0.00,+100000,-0.269,+50000,-0.634,,0.00,,0.00
"English, Harris",150,+140911,+75000,-0.467,+50000,-0.645,+100000,-0.290,+75000,-0.467,+50000,-0.645,+70000,-0.503,+100000,-0.290,,0.00,+150000,0.064,+50000,-0.645,,0.00,+150000,0.064,,0.00,,0.00,,0.00
"Thompson, Davis",150,+155240,+75000,-0.517,+50000,-0.677,+100000,-0.356,+75000,-0.517,,0.00,+70000,-0.549,+100000,-0.356,,0.00,+150000,-0.034,+60000,-0.613,,0.00,+100000,-0.356,+75000,-0.517,,0.00,,0.00
"Cole, Eric",150,+167498,+50000,-0.701,+47500,-0.716,+70000,-0.582,+75000,-0.552,+35000,-0.791,+50000,-0.701,+75000,-0.552,,0.00,+75000,-0.552,+50000,-0.701,,0.00,+75000,-0.552,+50000,-0.701,,0.00,,0.00
"McGreevy, Max",150,+184515,+150000,-0.187,+50000,-0.729,+100000,-0.458,+150000,-0.187,,0.00,+150000,-0.187,+100000,-0.458,,0.00,Inf,0.355,+70000,-0.620,,0.00,Inf,0.084,+100000,-0.458,,0.00,,0.00
"Hovland, Viktor",150,+199567,+75000,-0.624,+50000,-0.749,+100000,-0.499,+60000,-0.699,,0.00,+70000,-0.649,+100000,-0.499,,0.00,+100000,-0.499,+60000,-0.699,,0.00,+100000,-0.499,+75000,-0.624,,0.00,,0.00
"Hadwin, Adam",150,Inf,+75000,-0.707,+50000,-0.805,+100000,-0.610,+100000,-0.610,+50000,-0.805,+70000,-0.727,+100000,-0.610,,0.00,+150000,-0.415,+70000,-0.727,,0.00,+100000,-0.610,+75000,-0.707,,0.00,,0.00
"Kim, Tom",150,Inf,+100000,-0.612,+50000,-0.806,+100000,-0.612,+100000,-0.612,,0.00,+100000,-0.612,+100000,-0.612,,0.00,Inf,-0.225,+70000,-0.728,,0.00,+150000,-0.418,,0.00,,0.00,,0.00
"Pavon, Matthieu",150,Inf,+75000,-0.722,+50000,-0.814,+100000,-0.629,+125000,-0.536,,0.00,+70000,-0.740,+100000,-0.629,,0.00,+100000,-0.629,+60000,-0.777,,0.00,+100000,-0.629,+75000,-0.722,,0.00,,0.00
"Glover, Lucas",150,Inf,+150000,-0.493,+50000,-0.831,+100000,-0.662,+100000,-0.662,,0.00,+150000,-0.493,+100000,-0.662,,0.00,Inf,-0.325,+80000,-0.730,,0.00,Inf,-0.325,+100000,-0.662,,0.00,,0.00
"Fitzpatrick, Matt",150,Inf,+150000,-0.622,+50000,-0.874,+100000,-0.748,+150000,-0.622,,0.00,+150000,-0.622,+100000,-0.748,,0.00,Inf,-0.496,+100000,-0.748,,0.00,Inf,-0.496,+100000,-0.748,,0.00,,0.00
"Salinda, Isaiah",150,Inf,+100000,-0.777,+50000,-0.888,+100000,-0.777,+150000,-0.665,,0.00,+100000,-0.777,+100000,-0.777,,0.00,Inf,-0.554,+90000,-0.799,,0.00,Inf,-0.554,+100000,-0.777,,0.00,,0.00
"Jaeger, Stephan",150,Inf,Inf,-0.515,+50000,-0.903,+100000,-0.806,Inf,-0.612,,0.00,Inf,-0.515,+100000,-0.806,,0.00,Inf,-0.515,+80000,-0.845,,0.00,Inf,-0.515,+100000,-0.806,,0.00,,0.00
