player_name,primary_tour,dg_rank,dg_change,owgr_rank,owgr_change,dg_index
"Kohles, Ben",PGA Tour,176,1,145,-4,-0.095
"Noh, Seung-Yul",Korn Ferry Tour,177,-8,318,-6,-0.099
"Meissner, Mitch",Korn Ferry Tour,178,9,321,3,-0.1
"Sullivan, Andy",DP World Tour,179,5,206,0,-0.107
"Ferguson, Ewen",DP World Tour,180,0,155,-4,-0.108
"Stone, Brandon",DP World Tour,181,11,271,4,-0.109
"Migliozzi, Guido",DP World Tour,182,-1,142,-3,-0.113
"Fitzpatrick, Alex",DP World Tour,183,-1,191,-6,-0.12
"Pavan, Andrea",DP World Tour,184,32,276,20,-0.123
"Suh, Justin",PGA Tour,185,78,182,105,-0.127
"Simpson, Webb",PGA Tour,186,-1,349,-3,-0.128
"Schenk, Adam",PGA Tour,187,-9,115,-4,-0.129
"Schwartzel, Charl",LIV Golf,188,-5,396,7,-0.133
"Hirata, Kensei",Other Tours,189,-31,110,-3,-0.134
"Grace, Branden",LIV Golf,190,39,392,0,-0.139
"Li, Haotong",DP World Tour,191,7,154,-1,-0.142
"Thorbjornsen, Michael",PGA Tour,192,18,189,10,-0.166
"Bairstow, Sam",DP World Tour,193,21,177,7,-0.169
"Ayora, Angel",DP World Tour,194,-15,183,-5,-0.171
"Phillips, Chandler",PGA Tour,195,-43,166,-7,-0.176
"Lamprecht, Christo",Korn Ferry Tour,196,-5,239,11,-0.182
"Catlin, John",Other Tours,197,12,136,-5,-0.192
"Saddier, Adrien",DP World Tour,198,-35,222,-7,-0.194
"Castillo, Ricky",Korn Ferry Tour,199,-2,248,-4,-0.195
"Bjork, Alexander",DP World Tour,200,-7,200,-4,-0.199
"Young, Carson",PGA Tour,201,-11,156,-4,-0.211
"Ramey, Chad",PGA Tour,202,-2,303,-4,-0.212
"Kizzire, Patton",PGA Tour,203,-4,124,-3,-0.213
"Kim, Seonghyeon",PGA Tour,204,53,148,19,-0.218
"Stricker, Steve",PGA TOUR Champions,205,-9,null,0,-0.218
"Hillier, Daniel",DP World Tour,206,-2,138,0,-0.225
"Grillo, Emiliano",PGA Tour,207,-4,134,-6,-0.229
"Springer, Hayden",PGA Tour,208,-7,153,-3,-0.231
"Hoshino, Rikuya",DP World Tour,209,10,169,-1,-0.232
"Dumont de Chassart, Adrien",PGA Tour,210,15,218,0,-0.234
"Coussaud, Ugo",DP World Tour,211,28,210,11,-0.235
"Wenyi, Ding",DP World Tour,212,-10,null,0,-0.24
"Kruyswijk, Jacques",DP World Tour,213,-2,219,-3,-0.242
"Pavon, Matthieu",PGA Tour,214,14,41,2,-0.243
"Jamieson, Scott",DP World Tour,215,35,281,11,-0.244
"Lindell, Oliver",DP World Tour,216,-21,312,-1,-0.248
"Howell III, Charles",LIV Golf,217,-11,null,0,-0.248
"Campbell, Ben",Other Tours,218,-58,150,-1,-0.253
"Chatfield, Davis",Korn Ferry Tour,219,-25,341,-11,-0.253
"Shelton, Robby",PGA Tour,220,-12,264,-2,-0.257
"Bramlett, Joseph",PGA Tour,221,-4,311,4,-0.271
